plate,well,control,gene_symbol,score_area_mean_HCT116,score_area_mean_RPE1,score_cell_n_HCT116,score_cell_n_RPE1,score_k_corr_perc_mean_HCT116,score_k_corr_perc_mean_RPE1,score_radial_dist_mean_mean_HCT116,score_radial_dist_mean_mean_RPE1,score_spots_number_mean_HCT116,score_spots_number_mean_RPE1,raw_repeat_1_area_mean_HCT116,raw_repeat_1_area_mean_RPE1,raw_repeat_1_cell_n_HCT116,raw_repeat_1_cell_n_RPE1,raw_repeat_1_k_corr_perc_mean_HCT116,raw_repeat_1_k_corr_perc_mean_RPE1,raw_repeat_1_radial_dist_mean_mean_HCT116,raw_repeat_1_radial_dist_mean_mean_RPE1,raw_repeat_1_spots_number_mean_HCT116,raw_repeat_1_spots_number_mean_RPE1,raw_repeat_2_area_mean_HCT116,raw_repeat_2_area_mean_RPE1,raw_repeat_2_cell_n_HCT116,raw_repeat_2_cell_n_RPE1,raw_repeat_2_k_corr_perc_mean_HCT116,raw_repeat_2_k_corr_perc_mean_RPE1,raw_repeat_2_radial_dist_mean_mean_HCT116,raw_repeat_2_radial_dist_mean_mean_RPE1,raw_repeat_2_spots_number_mean_HCT116,raw_repeat_2_spots_number_mean_RPE1,ratio_repeat_1_area_mean_HCT116,ratio_repeat_1_area_mean_RPE1,ratio_repeat_1_cell_n_HCT116,ratio_repeat_1_cell_n_RPE1,ratio_repeat_1_k_corr_perc_mean_HCT116,ratio_repeat_1_k_corr_perc_mean_RPE1,ratio_repeat_1_radial_dist_mean_mean_HCT116,ratio_repeat_1_radial_dist_mean_mean_RPE1,ratio_repeat_1_spots_number_mean_HCT116,ratio_repeat_1_spots_number_mean_RPE1,ratio_repeat_2_area_mean_HCT116,ratio_repeat_2_area_mean_RPE1,ratio_repeat_2_cell_n_HCT116,ratio_repeat_2_cell_n_RPE1,ratio_repeat_2_k_corr_perc_mean_HCT116,ratio_repeat_2_k_corr_perc_mean_RPE1,ratio_repeat_2_radial_dist_mean_mean_HCT116,ratio_repeat_2_radial_dist_mean_mean_RPE1,ratio_repeat_2_spots_number_mean_HCT116,ratio_repeat_2_spots_number_mean_RPE1,norm_repeat1_area_mean_HCT116,norm_repeat1_area_mean_RPE1,norm_repeat1_cell_n_HCT116,norm_repeat1_cell_n_RPE1,norm_repeat1_k_corr_perc_mean_HCT116,norm_repeat1_k_corr_perc_mean_RPE1,norm_repeat1_radial_dist_mean_mean_HCT116,norm_repeat1_radial_dist_mean_mean_RPE1,norm_repeat1_spots_number_mean_HCT116,norm_repeat1_spots_number_mean_RPE1,norm_repeat2_area_mean_HCT116,norm_repeat2_area_mean_RPE1,norm_repeat2_cell_n_HCT116,norm_repeat2_cell_n_RPE1,norm_repeat2_k_corr_perc_mean_HCT116,norm_repeat2_k_corr_perc_mean_RPE1,norm_repeat2_radial_dist_mean_mean_HCT116,norm_repeat2_radial_dist_mean_mean_RPE1,norm_repeat2_spots_number_mean_HCT116,norm_repeat2_spots_number_mean_RPE1,sd_cell_n_HCT116,sd_cell_n_RPE1,sd_k_area_mean_HCT116,sd_k_area_mean_RPE1,sd_k_corr_perc_mean_HCT116,sd_k_corr_perc_mean_RPE1,sd_radial_dist_mean_mean_HCT116,sd_radial_dist_mean_mean_RPE1,sd_spots_number_mean_HCT116,sd_spots_number_mean_RPE1
4,B18,sample,SMC4,-0.29,3.74,-1.39,-1.79,0.9,3.06,2.57,-1.39,-3.17,-5.84,125.066253010176,179.060173170631,544,113,60.5643382352941,53.8805309734513,0.534165118819381,0.51528795289147,28.8161764705882,24.7345132743363,126.430653969934,205.428372799501,762,416,61.2047244094488,49.7860576923077,0.517902814384095,0.51528757776107,29.503937007874,26.9615384615385,1,1.08,0.697,0.483,1.05,1.01,1.03,1,0.856,0.779,1.04,1.21,0.81,0.545,1.04,1.32,1.02,0.969,0.896,0.851,-0.824,2.247,-1.479,-0.473,0.522,-0.007,3.572,-0.075,-2.414,-4.614,0.234,5.226,-1.3,-3.111,1.272,6.118,1.576,-2.71,-3.917,-7.075,0.12657211383239203,1.8653476887701128,0.7481189744953672,2.106471101154725,0.5303300858899106,4.331029034767604,1.4113851352483489,1.8632263684265529,1.062781492123381,1.7401897885000936
1,J04,sample,CXXC1,-0.77,2.2,-0.02,-1.26,0.82,-0.58,-0.64,1.54,-3.02,-1.08,121.223878483175,201.933599165667,754,138,60.4814323607427,49.5253623188406,0.50571389257576,0.544930451977416,31.1366047745358,28.195652173913,104.368957850645,189.056006292237,242,624,63.0743801652893,39.056891025641,0.507498331112348,0.537548289091181,25.9545454545455,32.1233974358974,0.989,1.12,0.904,0.399,1.02,0.931,0.988,1.07,0.947,0.876,0.912,1.12,0.695,0.756,1.07,1.05,1.01,1,0.834,1.02,-0.191,1.743,0,-1.146,0.308,-1.182,-1.303,2.83,-1.721,-2.949,-1.352,2.665,-0.042,-1.372,1.341,0.029,0.029,0.252,-4.316,0.795,0.029698484809835,0.1598061325481599,0.8209509729575817,0.6519524522539968,0.7304413049657036,0.856306312016909,0.9418662325404812,1.8229212818989196,1.8349420971790904,2.647407788762434
3,H13,sample,MIS18BP1,-0.54,0.7,-0.26,-0.33,0.71,2.44,0.22,-2.55,-2.32,-2.95,122.422066497888,186.539178346239,716,416,57.5104748603352,55.9266826923077,0.530642535591286,0.49829864063139,34.1536312849162,30.9591346153846,125.029664614295,169.207992252614,969,755,60.813209494324,40.6894039735099,0.505153521674961,0.521643414165618,31.09391124871,29.0238410596026,0.982,1.05,0.917,1.08,1.01,1.07,1.01,0.977,0.946,0.948,1.02,0.998,1.1,0.973,1.02,1.09,1,0.979,0.941,0.925,-1.05,1.264,-0.932,0,0.458,1.528,0.447,-1.574,-2.059,-1.86,-0.024,0.129,0.415,-0.667,0.956,3.356,0,-3.526,-2.58,-4.045,0.9524728342582796,0.4716402230514272,0.7254915574973978,0.8025661966467315,0.35213917703090064,1.2925911960090086,0.31607673119038676,1.3802724368761403,0.3684026329981912,1.5450283168926062
3,I06,sample,HIRIP3,-0.21,3.79,0.68,-1.57,0.67,0.23,-0.53,0.64,-1.52,-1.45,123.15646621452,215.311498499059,724,212,56.5414364640884,51.4504716981132,0.525981956037222,0.526692235546705,36.2762430939227,30.2688679245283,122.282349584924,186.603291591931,976,506,61.3586065573771,37.6798418972332,0.502324488687575,0.536170760935315,29.7571721311475,29.7826086956522,0.987,1.21,0.928,0.55,0.992,0.982,1,1.03,1.01,0.927,1,1.1,1.11,0.652,1.03,1.01,0.996,1.01,0.901,0.949,-0.5,5.014,0.554,-1.112,0.31,0.237,-0.633,1.277,0,-0.786,0.083,2.562,0.802,-2.022,1.025,0.213,-0.437,0,-3.036,-2.105,0.17536248173426378,0.643467170879758,0.4122432534317572,1.733825827469415,0.5055813485483814,0.01697056274847713,0.13859292911256332,0.9029753595752212,2.1467761876823586,0.9326738443850562
2,J21,sample,DNMT1,0.11,3.68,1.19,-1.78,0.53,-0.51,-0.42,1.26,0.17,-1.92,121.929636265651,207.414055726189,1133,269,58.4766107678729,50.5185873605948,0.517280677707883,0.525180459389499,36.8879082082966,29.9702602230483,122.468966313443,172.109171350486,1078,736,61.4211502782931,38.2567934782609,0.49805002072515,0.534904078602045,32.4387755102041,31.3790760869565,0.994,1.18,1.41,0.695,1.02,0.976,0.992,1.03,1.03,0.927,1.01,1.04,1.35,0.847,1.04,1.04,0.986,1,0.994,0.988,-0.153,4.626,1.494,-1.592,0.018,-1.138,-0.022,2.509,0.302,-3.277,0.371,2.735,0.883,-1.965,1.043,0.115,-0.825,0.001,0.039,-0.567,0.43204224330498053,0.2637508293825822,0.37052395334175087,1.3371389232237616,0.7247844507162112,0.8860047968267439,0.5678067452927976,1.773423807215861,0.185969083452062,1.916259377015544
2,E12,sample,KAT5,4.23,0.19,-1.41,-0.02,0.46,-2.22,0.07,1.36,0.47,1.71,138.399983751595,187.492548901683,525,407,57.9495238095238,45.3402948402948,0.520352411948333,0.522694741953198,35.0038095238095,34.3980343980344,135.544719749336,170.375034694883,787,756,59.9415501905972,33.4695767195767,0.510398475382233,0.543112327531958,34.2223634053367,32.3134920634921,1.13,1.07,0.652,1.05,1.01,0.876,0.998,1.02,0.979,1.06,1.12,1.03,0.988,0.87,1.01,0.912,1.01,1.02,1.05,1.02,4.439,0.39,-2.824,0.165,-0.003,-3.214,-0.016,1.454,-0.376,2.173,4.015,-0.003,0.002,-0.207,0.921,-1.234,0.153,1.276,1.319,1.25,1.9982837636331832,0.2630437226013957,0.2998132752230964,0.27789296500631316,0.6533666658163699,1.400071426749364,0.11950104602052652,0.1258650070512054,1.198545994111198,0.6526595590351834
1,F06,sample,HIST1H3G,0.78,3.63,0.49,-1.13,0.4,-1.68,0.11,2.26,-1.39,-1.86,132.151560459676,221.117764397532,873,256,59.8762886597938,48.015625,0.511512152038607,0.541527113414947,33.1076746849943,29.28125,123.275289936846,188.631862684842,467,607,61.2216274089936,36.66392092257,0.49797169635146,0.544260994484937,31.0920770877944,29.9439868204283,1.08,1.22,1.05,0.74,1.01,0.903,1,1.06,1.01,0.91,1.08,1.12,1.34,0.735,1.04,0.99,0.992,1.01,0.999,0.949,1.082,4.249,-0.307,-0.652,-0.039,-2.414,0.484,2.684,-1.845,-1.861,0.472,3.008,1.295,-1.609,0.839,-0.951,-0.271,1.845,-0.931,-1.859,1.1327850634608492,0.6767011895955259,0.43133513652379407,0.8775195154525053,0.6208397538817887,1.034497220875919,0.5338656197958433,0.5932625894155136,0.6462955980045043,0.00141421356237309
4,J02,sample,SOX10,0.12,2.7,0.62,-2,0.38,-0.78,-0.8,1.49,0.36,-0.59,120.938148293132,195.897351756585,918,254,59.2908496732026,52.1988188976378,0.509266123523055,0.528110465956623,32.2069716775599,31.2874015748031,117.14092144803,184.79840408508,792,591,60.0959595959596,37.1768189509306,0.502657017129812,0.531764040975141,33.1338383838384,31.6514382402707,0.97,1.18,1.18,1.09,1.03,0.98,0.982,1.02,0.957,0.986,0.963,1.08,0.842,0.774,1.02,0.982,0.991,1,1.01,0.999,0.234,2.631,1.247,-2.11,0.129,0,-0.822,1.862,-0.123,-1.042,0,2.77,0,-1.892,0.634,-1.566,-0.769,1.122,0.834,-0.145,0.8817621561396248,0.15414927829866734,0.16546298679765212,0.09828784258493029,0.3570889244992065,1.1073292193381334,0.03747665940288697,0.5232590180780452,0.6767011895955259,0.6342747827243331
2,O16,sample,KDM5D,-0.72,-1.76,0.18,3.08,0.37,-0.61,-0.54,0.58,-0.31,2.56,118.512932628054,171.769803364355,743,537,58.0632570659489,53.3137802607076,0.52069679344776,0.500096193977232,36.0632570659489,33.8677839851024,119.176822725875,153.842384912481,813,1266,59.4182041820418,38.4727488151659,0.503116079007445,0.535404415252901,33.259532595326,34.1050552922591,0.966,0.981,0.922,1.39,1.01,1.03,0.998,0.981,1.01,1.05,0.983,0.929,1.02,1.46,1,1.05,0.996,1,1.02,1.07,-1.158,-0.388,0.03,1.529,0.728,-0.378,-0.539,-0.363,-0.764,0.964,-0.276,-3.139,0.334,4.633,0.002,-0.842,-0.544,1.523,0.15,4.164,0.2149604614807105,2.1948594488030437,0.6236681810065349,1.945250755044192,0.5133595231414335,0.328097546470558,0.00353553390593274,1.3336033893178283,0.6462955980045044,2.262741699796952
4,N07,sample,CSNK1A1,0.78,2.58,-0.81,-0.63,0.32,-0.93,1.25,2.99,0.19,0.6,128.290121327996,185.833864736861,526,131,53.9039923954373,48.5114503816794,0.541925280230858,0.556736909162448,37.0475285171103,30.3435114503817,123.818157553776,188.489299076477,860,542,58.8366279069767,36.070110701107,0.518391408717428,0.547161246859957,33.8197674418605,32.4188191881919,1.03,1.12,0.673,0.56,0.932,0.911,1.05,1.08,1.1,0.956,1.02,1.11,0.914,0.709,0.999,0.953,1.02,1.03,1.03,1.02,0.557,2.277,-1.617,-0.765,-0.529,-1.625,2.106,2.682,0.467,-0.305,0.996,2.889,0,-0.495,1.179,-0.227,0.403,3.296,-0.088,1.497,1.143391665178647,0.19091883092036785,0.31041987694089435,0.4327493500861668,1.2077383822666232,0.9885352800987934,1.2042028483606904,0.4341635636485401,0.3924442635585339,1.2742064196981586
3,D07,sample,ZNF335,1.28,0.31,0.09,-1.43,0.29,-1.09,-0.4,0.4,-0.23,-4.11,130.55922773241,187.842064046139,640,269,55.92421875,46.6449814126394,0.530100882674013,0.524396947480181,36.446875,29.0408921933086,122.157904566098,179.205869786218,907,577,60.2425578831312,38.4029462738302,0.503369136298427,0.53017984727889,32.5656008820287,28.6568457538995,1.05,1.06,0.82,0.698,0.981,0.89,1.01,1.03,1.01,0.889,0.999,1.06,1.03,0.744,1.01,1.03,0.999,0.995,0.986,0.913,2.041,0.216,-0.445,-1.216,-0.35,-2.216,-0.011,1.244,-0.489,-3.814,0.516,0.399,0.626,-1.635,0.936,0.033,-0.783,-0.454,0.027,-4.399,0.7573113626507924,0.29627774131716345,1.0783378413094848,0.1294005409571382,0.9093393206059002,1.5902831508885455,0.5458864350760148,1.2006673144547575,0.3648670990922585,0.41365746699413025
3,O06,sample,BRD3,0.76,2.57,0.54,-1.13,0.29,-0.35,-0.37,2,1.23,-0.4,126.491984960763,203.333311579923,779,236,54.4884467265725,51.2161016949153,0.530748668756054,0.532277527949463,40.2849807445443,31.1610169491525,121.636003870618,182.182672289522,797,632,60.8569636135508,37.1621835443038,0.503930738439125,0.54099649366526,33.6675031367629,31.245253164557,1.01,1.14,0.998,0.612,0.956,0.978,1.01,1.04,1.12,0.954,0.994,1.07,0.905,0.814,1.02,0.995,1,1.02,1.02,0.996,1.19,3.355,1.088,-0.904,0,-0.27,-0.599,2.966,1.987,-0.718,0.335,1.794,0,-1.354,0.583,-0.431,-0.151,1.036,0.479,-0.079,0.7693321779309638,0.3181980515339464,0.6045762979144981,1.1037936854322006,0.4122432534317571,0.11384419177103414,0.3167838379715733,1.3647160876900368,1.0663170260293138,0.45184123317820385
4,K17,sample,SMC2,1.51,-1.39,-1.04,0.61,0.26,3.53,6.75,-3.58,-0.82,-5.49,133.283905510697,149.223715995673,599,169,58.3848080133556,59.4082840236686,0.568310110620756,0.510183311755276,33.881469115192,23.7514792899408,129.86336681399,166.485774348858,799,785,60.6958698372966,47.6980891719745,0.537251880763112,0.506925587868372,31.3842302878598,26.1082802547771,1.07,0.896,0.767,0.722,1.01,1.12,1.1,0.99,1.01,0.748,1.07,0.977,0.849,1.03,1.03,1.26,1.06,0.953,0.953,0.824,1.392,-1.228,-1.249,0,0,2.3,7.951,-1.286,-0.662,-4.173,1.637,-1.552,-0.84,1.219,0.522,4.758,5.543,-5.876,-0.979,-6.797,0.28920667350529805,0.8619631662664016,0.17324116139070422,0.22910259710444145,0.36910973977937783,1.738068468156534,1.702713129097206,3.245620125646253,0.22415284963613552,1.8554481938335003
1,H11,sample,NUP153,-5.29,-0.64,-0.76,0.18,0.25,2.02,2.19,-0.98,-4.34,-2.14,101.141686708078,168.534299216767,417,384,58.6127098321343,61.3919270833333,0.531104589014004,0.497162139547643,28.1079136690647,29.0494791666667,100.415215833373,164.801881744307,585,932,60.9717948717949,35.3637339055794,0.517999661019113,0.537543849525507,27.0547008547009,30.2178111587983,0.825,0.933,0.5,1.11,0.993,1.15,1.04,0.975,0.855,0.903,0.878,0.975,1.68,1.13,1.03,0.955,1.03,1,0.869,0.957,-7.958,-1.214,-3.218,0.002,-0.543,4.007,3.212,-1.979,-6.242,-2.696,-2.63,-0.06,1.691,0.352,1.039,0.024,1.166,0.029,-2.438,-1.581,3.4711871888447616,0.2474873734152916,3.7674649301619256,0.8160012254892758,1.1186429278371182,2.8164063094660188,1.4467404743076764,1.4198704166225875,2.6898341956336265,0.7884240610230007
1,G07,sample,BCORL1,-2.02,-0.35,0.87,-0.34,0.14,1.31,-0.56,-0.19,-2.12,-2.96,117.87971484724,179.594733109747,899,295,59.9438264738598,57.1372881355932,0.513402818520194,0.511350360567124,32.5361512791991,28.7830508474576,106.91870752805,166.402422248276,406,835,60.3891625615764,37.3682634730539,0.489761170585626,0.538127776956149,27.8251231527094,30.1137724550898,0.962,0.994,1.08,0.853,1.02,1.07,1,1,0.989,0.895,0.935,0.984,1.17,1.01,1.02,1.01,0.975,1,0.894,0.954,-2.859,0,0.72,-0.72,0.313,2.534,0.273,0.142,-1.565,-3.179,-1.18,-0.71,1.018,0.031,-0.038,0.095,-1.392,-0.515,-2.682,-2.731,0.2107178207935912,0.5310371926710972,1.1872322856122133,0.5020458146424487,0.2481944801964782,1.7246334393139893,1.1773327906756017,0.4645691552395617,0.7898382745853736,0.3167838379715733
4,B16,sample,ORC6,3.71,4.35,-1.43,-1.75,0.1,-0.35,-0.01,2.59,0.97,-5.85,153.870528214346,209.322422591769,452,131,61.6393805309735,52.6564885496183,0.512030981107798,0.550059402653622,33.4048672566372,23.8015267175573,140.463730461546,200.948872909328,763,434,60.4292267365662,41.3963133640553,0.504125553225831,0.541266114179126,33.6631716906946,26.4331797235023,1.23,1.26,0.579,0.56,1.07,0.988,0.987,1.07,0.993,0.75,1.16,1.18,0.811,0.568,1.03,1.09,0.994,1.02,1.02,0.834,4.972,4.457,-1.936,-0.809,0.236,-0.628,0.002,2.646,0.66,-4.632,2.451,4.237,-0.915,-2.682,-0.039,-0.077,-0.023,2.525,1.281,-7.071,0.7219560235914649,1.3244110011624033,1.7826161953712865,0.1555634918610403,0.19445436482630055,0.38961583643378767,0.01767766952966368,0.08555992052357225,0.43911331111684593,1.7246334393139895
3,K07,sample,CHTOP,-1.06,-3.06,-0.3,1.97,0.06,-1.91,-0.48,-0.46,-0.37,0.67,123.111966527539,165.075047462204,629,487,55.7837837837838,47.9086242299795,0.527007881834881,0.512173038037893,39.5723370429253,32.5297741273101,115.959932585865,164.757982375598,826,872,60.2554479418886,34.2815366972477,0.501848660633956,0.533709749484386,31.8813559322034,31.6788990825688,0.987,0.928,0.806,1.26,0.979,0.914,1,1,1.1,0.996,0.948,0.972,0.938,1.12,1.01,0.918,0.996,1,0.965,1.01,-0.352,-3.546,-0.342,1.704,0,-1.554,-0.708,-1.039,0.311,0.142,-1.764,-2.571,-0.252,2.236,0.118,-2.26,-0.249,0.117,-1.047,1.195,0.0636396103067893,0.37618080759124345,0.9984347750354052,0.6894291116568836,0.0834386001800126,0.4992173875177024,0.3245620125646253,0.8174154390516488,0.9602510088513316,0.7445834405894346
3,H10,sample,IPO8,-1.14,-1.86,0.16,1.83,0.06,-0.06,-0.83,-7.42,0.15,-4.03,125.568164466815,163.19607871444,946,479,58.0026427061311,54.1002087682672,0.522150644756782,0.499899294176542,37.6469344608879,32.6826722338205,117.340048187991,159.507654943286,862,957,59.8051044083527,32.4111807732497,0.503020131164183,0.477363400530045,32.1473317865429,26.4263322884013,1.01,0.917,1.21,1.24,1.02,1.03,0.995,0.98,1.04,1,0.959,0.941,0.978,1.23,1,0.868,0.998,0.896,0.973,0.842,-0.202,-1.349,0.641,1.464,0,1.484,-0.578,-1.947,1.344,0.54,-2.084,-2.366,-0.327,2.197,0.121,-1.605,-1.084,-12.899,-1.044,-8.595,0.684479364188578,0.5183092706097394,1.3307749621930824,0.7191275964667189,0.08555992052357225,2.184252847085246,0.3577960312803931,7.744233467555068,1.6885709934734756,6.459420446139112
1,D10,sample,H2AFJ,-1.17,0.93,-1.1,-1.99,0.05,0.72,-0.53,1.85,-0.79,-3.31,128.201065302311,172.999406950392,707,153,61.7461103253182,53.281045751634,0.503332898217327,0.552999907017669,31.8500707213578,27.0130718954248,87.1275540407891,175.699414211777,26,687,54.6153846153846,35.688500727802,0.51972405684904,0.537182870779096,30.0384615384615,30.17903930131,1.05,0.957,0.848,0.442,1.05,1,0.984,1.08,0.968,0.84,0.762,1.04,0.0747,0.832,0.925,0.964,1.03,1,0.965,0.956,1.587,-0.071,-1.471,-2.248,1.864,1.318,-1.155,4.706,-0.822,-4.539,-3.923,1.935,-0.735,-1.728,-1.774,0.126,0.094,-1.009,-0.752,-2.09,0.520430590953299,0.3676955262170049,3.896158364337877,1.4184562030602144,2.57245446995666,0.8428712831743647,0.8831763697019979,4.041115254481119,0.04949747468305829,1.7317045071258548
2,G19,sample,WAC,1.66,3.25,1.08,-1.84,0,0.41,0.35,0.4,2.1,-0.57,131.231612730098,194.162114258899,879,248,58.2343572241183,52.3770161290323,0.515798749114272,0.518349942505726,36.995449374289,30.991935483871,123.522698557135,178.46621231849701,1167,688,59.7639245929734,37.4658430232558,0.505452794037064,0.534125805335093,33.261353898886,31.765988372093,1.07,1.11,1.09,0.641,1.01,1.01,0.989,1.02,1.04,0.959,1.02,1.08,1.47,0.792,1.01,1.02,1,1,1.02,1,3.186,3.158,0.616,-1.394,-0.036,0.749,0.318,0.773,3.146,-1.125,0.135,3.352,1.544,-2.293,0.028,0.065,0.382,0.025,1.057,-0.005,0.6561950929411161,0.6356889962867064,2.1573827894001565,0.13717871555019018,0.04525483399593904,0.4836610383315985,0.04525483399593904,0.5289158723275376,1.4771460658986977,0.7919595949289332
4,F08,sample,DCTN6,0.62,2.23,-1.17,-2,0,-1.8,-0.08,-0.46,-1.4,-3.28,128.726312367539,181.771341187109,587,141,56.320272572402,43.613475177305,0.520727363984185,0.504226780429492,33.1737649063032,25.3687943262411,122.059173626428,184.927690228724,920,535,59.7657608695652,35.0252336448598,0.505249422711066,0.529684457900235,31.6315217391304,30.3626168224299,1.03,1.09,0.752,0.603,0.974,0.819,1,0.979,0.986,0.799,1,1.08,0.978,0.7,1.01,0.925,0.996,0.996,0.96,0.958,1.249,1.676,-1.875,-1.051,-1.06,-3.54,0.525,-0.262,-0.42,-4.984,-0.012,2.786,-0.455,-2.955,1.059,-0.058,-0.683,-0.655,-2.381,-1.584,1.0040916292848974,1.3463313113791866,0.8916616510762365,0.7848885271170678,1.4983592693342942,2.4621458120915585,0.8541849916733495,0.27789296500631316,1.3866363979068197,2.4041630560342613
1,F15,sample,ING1,-2.53,-0.63,-0.91,1.73,-0.05,-0.07,-0.37,0.26,-1.42,1.42,119.679475847036,176.276131459251,976,560,57.6787909836066,51.925,0.51836156151476,0.512043922076032,35.8360655737705,33.2214285714286,102.770099768656,171.457824296581,29,893,60.8620689655172,38.441209406495,0.472782190587171,0.537090098820523,24.1034482758621,32.1041433370661,0.976,0.976,1.17,1.62,0.977,0.976,1.01,1,1.09,1.03,0.898,1.01,0.0833,1.08,1.03,1.04,0.941,1,0.775,1.02,-1.872,-0.693,0.746,2.138,-1.163,-0.276,1.949,0.023,2.647,1.253,-3.191,-0.559,-2.568,1.323,1.054,0.142,-2.698,0.5,-5.486,1.595,2.3433518728522187,0.5762920266670362,0.932673844385056,0.0947523086789973,1.567655733890576,0.2955706345359769,3.2859252121738867,0.33728993462598317,5.7508994513901905,0.2418305191657993
2,I20,sample,EIF1,1.15,-0.84,0.07,0.64,-0.16,-0.33,-0.04,-0.14,0.91,3.62,126.041409559684,165.194512859741,750,370,58.3066666666667,52.9364864864865,0.51755570122014,0.503599617229262,34.8186666666667,33.4243243243243,127.37597459235,162.227761788227,727,930,59.7654745529574,36.5069892473118,0.502440159705164,0.532222466273973,34.6107290233838,32.9086021505376,1.03,0.943,0.931,0.956,1.02,1.02,0.992,0.987,0.974,1.03,1.05,0.98,0.913,1.07,1.01,0.995,0.995,0.996,1.06,1.04,0.538,-1.687,0.014,-0.189,0.398,0.613,-0.025,-0.682,-0.098,2.789,1.754,0.016,0.119,1.464,-0.718,-1.277,-0.063,0.405,1.92,4.454,0.07424621202458749,1.168847509301363,0.8598418459228417,1.2042028483606906,0.789131167804187,1.3364318164425748,0.0268700576850888,0.7686250711497772,1.426941484434453,1.1773327906756017
3,C16,sample,KAT8,1.28,0.02,0.24,0.17,-0.21,0.57,1.42,0.11,0.03,-2.69,126.12662189034,176.009075650053,899,355,55.7146829810901,52.3464788732394,0.533033682192971,0.522319879642633,35.4727474972191,30.1211267605634,129.459893598578,170.455586866557,818,675,58.7114914425428,41.1814814814815,0.518819236353036,0.533498805549868,33.6051344743276,29.1792592592593,1.01,0.989,1.15,0.921,0.977,0.999,1.02,1.02,0.983,0.923,1.06,1.01,0.928,0.87,0.983,1.1,1.03,1,1.02,0.93,-0.109,0.032,0.566,0.461,-0.079,-0.13,0.514,0.215,-0.508,-1.824,2.675,0,-0.079,-0.122,-0.345,1.272,2.326,0.001,0.567,-3.546,0.4560838738653231,0.4122432534317572,1.968585278823348,0.02262741699796952,0.1880904037956216,0.9913637072235396,1.281277487510024,0.15132085117392116,0.7601397897755385,1.2176378772032346
2,I17,sample,TSPY8,-0.22,2.85,-0.04,-1.31,-0.21,-0.43,1.19,2.53,1.12,-1.33,120.810942462696,189.172889202762,651,184,57.0591397849462,51.0625,0.531972911339918,0.538343641176459,37.6021505376344,30.6739130434783,126.343004457725,178.596586714996,762,650,60.2867454068241,37.1484615384615,0.503036584746891,0.532746526594197,33.6391076115486,30.9384615384615,0.985,1.08,0.808,0.475,0.994,0.987,1.02,1.06,1.05,0.949,1.04,1.08,0.957,0.748,1.02,1.01,0.996,0.997,1.03,0.974,-1.195,2.433,-0.022,-1.375,-0.462,-0.85,2.377,4.893,1.39,-1.242,0.752,3.268,-0.065,-1.25,0.033,-0.01,0.003,0.171,0.854,-1.412,0.03040559159102154,0.08838834764831845,1.376736902970208,0.5904341622907672,0.35001785668734103,0.5939696961966999,1.6786714985368636,3.338958220762877,0.3790092347159894,0.12020815280171304
3,I12,sample,NUP58,-4.19,1.14,-0.7,0.54,-0.24,3.2,1.41,-2.67,-1.67,-1.64,114.86582519334,194.649180463382,640,403,57.41796875,58.8734491315136,0.525596458754237,0.499405909126115,32.971875,29.7990074441687,111.002349074229,173.194190274265,797,757,60.3720200752823,41.827608982827,0.514440034940417,0.523935508591919,31.138017565872,30.2034346103038,0.921,1.09,0.82,1.05,1.01,1.12,1,0.979,0.914,0.913,0.907,1.02,0.905,0.976,1.01,1.12,1.02,0.983,0.942,0.962,-3.463,1.668,-0.537,1.076,-0.009,3.119,0.632,-3.048,-2.248,-1.709,-4.915,0.62,-0.861,0,-0.472,3.275,2.185,-2.3,-1.09,-1.57,0.22910259710444136,0.7608468965567252,1.026719046282867,0.7410479066835017,0.3273904396893715,0.1103086578651012,1.0981368311827084,0.5289158723275377,0.8188296526140221,0.09828784258493012
1,I19,sample,TBP,0.2,2.81,0.13,-1.33,-0.29,-1.25,-0.61,-0.1,-0.62,-1.99,125.913601862951,214.281530411893,796,152,58.5753768844221,45.1052631578947,0.507930518516145,0.542093098599177,33.1582914572864,28.9671052631579,113.341219960896,182.479968953449,476,581,58.9023109243698,36.0456110154905,0.50422579615837,0.53629565044393,30.1344537815126,30.3046471600688,1.03,1.19,0.954,0.439,0.992,0.848,0.993,1.06,1.01,0.9,0.991,1.08,1.37,0.704,0.998,0.973,1,1,0.968,0.96,1.185,3.337,0.178,-1.468,-0.483,-3.004,-0.748,1.371,0.066,-2.65,-0.794,2.275,0.083,-1.198,-0.092,0.513,-0.474,-1.563,-1.304,-1.335,0.06717514421272201,0.19091883092036785,1.3993643199681776,0.7509474016201136,0.2764787514439401,2.486894549433088,0.19374725804511408,2.0746512960013304,0.9687362902255702,0.92984541726031
